Player	WR	Wins	Games
sjdrodge	28.05	1381	4923
piper	27.18	626	2303
MarkusKahlsen	26.89	1197	4452
ADrone	26.43	407	1540
timotree	24.96	646	2588
Nitrate	23.71	350	1476
micerang	23.43	1088	4643
pianoblook	23.31	1111	4767
Pablo-	23.21	783	3374
Valetta6789	22.89	671	2932
kimbifille	22.86	1220	5337
TimeHoodie	22.53	1383	6138
eliclax	22.16	428	1931
asaelr	21.64	1244	5749
Floriman	21.56	891	4133
nitawa	21.12	458	2169
florrat2	21.07	437	2074
Lanvin	20.97	2163	10316
Libster	20.90	730	3493
RaKXeR	20.71	420	2028
Lel0uch	19.53	1252	6410
melwen	19.02	1661	8735
Kyle	18.64	1394	7480
IAMJEFF	18.23	730	4005
scharkbite	18.10	1290	7127
padi	18.08	196	1084
Fireheart	17.88	757	4234
Bot-Fiora	16.81	242	1440
Dr_Kakashi	16.69	1030	6172
DMoney	16.46	528	3208
Zamiel	16.15	1155	7152
sin_faith	15.76	525	3332
indego	13.84	624	4508
